symID	cells
AD_A_8_High	78706.5
AD_A_8_High	-43644.5
AD_A_8_High	-95760.5
AD_A_8_High	78517.5
AD_A_8_High	27684.5
AD_A_8_High	79212.5
AD_A_8_High	67819.5
AD_A_8_High	-84491.5
AD_D_8_High	42245.42857
AD_D_8_High	16975.42857
AD_D_8_High	4186.428571
AD_D_8_High	19254.42857
AD_D_8_High	31862.42857
AD_D_8_High	33046.42857
AD_D_8_High	34454.42857
AD_D_8_High	42709.42857
AD_D_8_High	43151.42857
AD_D_8_High	29672.42857
AD_D_8_High	41859.42857
AD_D_8_High	40659.42857
AD_D_8_High	40537.42857
AD_D_8_High	-4406.571429
AD_D_8_High	42547.42857
BD_B_8_Low	-14856.125
BD_B_8_Low	-4965.125
BD_B_8_Low	-21307.125
BD_B_8_Low	7080.875
BD_B_8_Low	6622.875
BD_B_8_Low	4457.875
BD_B_8_Low	3923.875
BD_B_8_Low	3968.875
BD_B_8_Low	7195.875
BD_B_8_Low	5320.875
BD_B_8_Low	8511.875
BD_B_8_Low	7022.875
BD_B_8_Low	5784.875
BD_B_8_Low	8511.875
BD_D_8_Low	48520.35
BD_D_8_Low	48520.35
BD_D_8_Low	48520.35
BD_D_8_Low	48520.35
BD_D_8_Low	47831.35
BD_D_8_Low	45549.35
BD_D_8_Low	46064.35
BD_D_8_Low	48182.35
BD_D_8_Low	48202.35
BD_D_8_Low	44744.35
BD_D_8_Low	-27042.65
BD_D_8_Low	48141.35
BD_D_8_Low	-50027.65
BD_D_8_Low	-101796.65
BD_B_8_High	62633.5
BD_B_8_High	64439.5
BD_B_8_High	-144112.5
BD_B_8_High	71109.5
BD_B_8_High	26475.5
BD_B_8_High	73634.5
BD_B_8_High	-93394.5
BD_D_8_High	36702.42857
BD_D_8_High	4284.428571
BD_D_8_High	43413.42857
BD_D_8_High	40526.42857
BD_D_8_High	-15742.57143
BD_D_8_High	27739.42857
BD_D_8_High	11881.42857
