Sample	Sym_Num	Sym_ID	Env	Time	Rep	A_Count	B_Count	D_Count	Total_Count	Per_A	Per_B	Per_D	Log_A	Log_B	Log_D	Log_Total
969	2	AB	Dark	2	1	1912	0	0	1912	100	0	0	3.281	0	0	3.281
970	2	AB	Dark	2	1	5905	33295	0	39201	15.1	84.9	0	3.771	4.522	0	4.593
1262	2	AB	Dark	2	2	1409	0	0	1409	100	0	0	3.149	0	0	3.149
1266	2	AB	Dark	2	2	18745	0	0	18745	100	0	0	4.273	0	0	4.273
1268	2	AB	Dark	2	2	14768	22980	0	37749	39.1	60.9	0	4.169	4.361	0	4.577
1269	2	AB	Dark	2	2	328	0	0	328	100	0	0	2.516	0	0	2.516
1282	2	AB	Dark	2	3	166	0	0	166	100	0	0	2.219	0	0	2.219
1286	2	AB	Dark	2	3	689	2366	0	3054	22.5	77.5	0	2.838	3.374	0	3.485
1290	2	AB	Dark	2	3	289	0	0	289	100	0	0	2.461	0	0	2.461
952	2	AB	Light	2	1	573	1033	0	1606	35.7	64.3	0	2.758	3.014	0	3.206
956	2	AB	Light	2	1	17909	0	0	17909	100	0	0	4.253	0	0	4.253
958	2	AB	Light	2	1	10279	65478	0	75757	13.6	86.4	0	4.012	4.816	0	4.879
959	2	AB	Light	2	1	668	0	0	668	100	0	0	2.825	0	0	2.825
960	2	AB	Light	2	1	16234	155948	0	172183	9.4	90.6	0	4.21	5.193	0	5.236
1252	2	AB	Light	2	2	405	1789	0	2194	18.5	81.5	0	2.608	3.253	0	3.341
1256	2	AB	Light	2	2	3300	46242	0	49541	6.7	93.3	0	3.518	4.665	0	4.695
1258	2	AB	Light	2	2	8001	56153	0	64154	12.5	87.5	0	3.903	4.749	0	4.807
1259	2	AB	Light	2	2	1056	19377	0	20432	5.2	94.8	0	3.024	4.287	0	4.31
1260	2	AB	Light	2	2	16950	199	0	17150	98.8	1.2	0	4.229	2.3	0	4.234
1272	2	AB	Light	2	3	243	1144	0	1387	17.5	82.5	0	2.386	3.058	0	3.142
1276	2	AB	Light	2	3	924	18878	0	19802	4.7	95.3	0	2.966	4.276	0	4.297
1278	2	AB	Light	2	3	0	1275	0	1275	0	100	0	0	3.105	0	3.105
1280	2	AB	Light	2	3	0	9075	0	9075	0	100	0	0	3.958	0	3.958
582	2	AD	Dark	1	1	0	0	253	253	0	0	100	0	0	2.403	2.403
589	2	AD	Dark	1	1	726	0	0	726	100	0	0	2.861	0	0	2.861
722	2	AD	Dark	1	2	0	0	468	468	0	0	100	0	0	2.67	2.67
726	2	AD	Dark	1	2	3030	0	0	3030	100	0	0	3.481	0	0	3.481
728	2	AD	Dark	1	2	380	0	0	380	100	0	0	2.579	0	0	2.579
729	2	AD	Dark	1	2	0	0	304	304	0	0	100	0	0	2.483	2.483
730	2	AD	Dark	1	2	1363	0	1640	3003	45.4	0	54.6	3.135	0	3.215	3.478
866	2	AD	Dark	1	3	3411	0	0	3411	100	0	0	3.533	0	0	3.533
868	2	AD	Dark	1	3	5375	0	635	6011	89.4	0	10.6	3.73	0	2.803	3.779
869	2	AD	Dark	1	3	208	0	0	208	100	0	0	2.319	0	0	2.319
870	2	AD	Dark	1	3	6847	0	1048	7895	86.7	0	13.3	3.836	0	3.02	3.897
572	2	AD	Light	1	1	0	0	658	658	0	0	100	0	0	2.818	2.818
576	2	AD	Light	1	1	587	0	10905	11492	5.1	0	94.9	2.769	0	4.038	4.06
